Prototype,CZ,Vintage,Object Class_1,Object Name_1.1 / FixedWindow_Nonres,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.2 / FixedWindow_Guest,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.3 / OperableWindow_Nonres,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.4 / FixedAndOperableWindow_Res,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.5 / Skylight_Nonres,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Class_2,Object Name_2.1 / Insulation_ExtWall_MetalFramed_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.2 / Insulation_ExtWall_MetalFramed_Guest,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.3 / Insulation_ExtWall_MetalFramed_Res,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.4 / Insulation_ExtWall_MetalBuilding_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.5 / Insulation_ExtWall_MassLight_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.6 / Insulation_ExtWall_Concrete4in_Insulated,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.7 / Insulation_ExtWall_WoodFramed_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.8 / Insulation_ExtWall_WoodFramed_Res,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.9 / Insulation_FlatRoof_MetalBuilding_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.10 / Insulation_FlatRoof_Concrete8in_Insulated,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.11 / Insulation_FlatRoof_WoodFramingAndOther_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.12 / Insulation_FlatRoof_WoodFramingAndOther_Guest,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.13 / Insulation_FlatRoof_WoodFramingAndOther_Res,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.14 / Insulation_AtticFloor_Reversed,Field Name,Value,Unit,#U_Factor,Unit
Assembly,1,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.29225,in.,0.06,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,2,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,3,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,1.88168661971831,in.,0.071,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,4,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,5,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,6,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.29225,in.,0.06,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,7,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.29225,in.,0.06,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,8,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,9,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.34,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.22,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,10,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
