Prototype,Vintage,Object Class_1,Object Name_1.1,#SpaceType,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Object Class_2,Object Name_2.1,Number_of_People_Schedule_Name,Number_of_People_Calculation_Method,People_per_Floor_Area,Activity_Level_Schedule_Name,Object Class_3,Object Name_3.1,Schedule_Name,Design_Level_Calculation_Method,Lights_Wattes_per_Floor_Area,Unit,End_Use_Subcategory_3.1,Object Class_4,Object Name_4.1,Schedule_Name,Design_Level_Calculation_Method,Equip_Wattes_per_Floor_Area,Unit,End_Use_Subcategory_4.1,Object Name_4.2,Schedule_Name,Design_Level_Calculation_Method,Refrig_Wattes_per_Floor_Area,Unit,End_Use_Subcategory_4.2,Object Class_5,Object Name_5.1,Schedule_Name,Design_Level_Calculation_Method,Gas_Power_per_Floor_Area,Unit,End_Use_Subcategory_5.1,Object Class_6,Object Name_6.1,Schedule_Name,Design_Level_Calculation_Method,Infil_Air_Change_per_hour,Infil_Flow_Rate_per_Exterior_Surface_Area,Object Class_7,Object Name_7.1,Outdoor_Air_Method,Outdoor_Airflow_per_Person,Outdoor_Airflow_per_Zone_Floor_Area,Outdoor_Airflow_per_Zone,Outdoor_Air_Schedule_Name,Object Class_8,Object Name_8.1,#Water_Heater_Type,Flow_Rate_Fraction_Schedule_Name,Target_Temperature_Schedule_Name,Peak_Flow_Rate,Object Class_9,Object Name_9.1,Heating_SetPoint_Schedule_Name,Cooling_SetPoint_Schedule_Name
Assembly,NC,ZONE,Exhibits and events_Conference Room,"Convention, Conference, Multipurpose and Meeting Area",Multiplier,12,n/a,Floor_Area,2669,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Exhibits and events_Conference Room,AssemblyOccupancy,People/Area,0.033,MeetingAreaPeopleActivityLevel,LIGHT,"Lights_Convention, Conference, Multipurpose and Meeting Area",AssemblyLights,Watts/Area,0.75,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,"Equip_Convention, Conference, Multipurpose and Meeting Area",AssemblyElecEquipment,Watts/Area,1.0,W/ft2,Receptacle,"Refrig_Convention, Conference, Multipurpose and Meeting Area",AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,"Gas_Convention, Conference, Multipurpose and Meeting Area",AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Exhibits and events_Conference Room,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Exhibits and events_Conference Room,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Exhibits and events_Conference Room,Gas,AssemblyServiceHotWater,TargetSHWTemp135,1.585386,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Exhibits and events_Conference Room,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Exhibits and events_Theater Area,Theater Area (Motion Picture),Multiplier,12,n/a,Floor_Area,2225,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Exhibits and events_Theater Area,AssemblyOccupancy,People/Area,0.071,PerformanceSpcPeopleActivityLevel,LIGHT,Lights_Theater Area (Motion Picture),AssemblyLights,Watts/Area,0.5,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,Equip_Theater Area (Motion Picture),AssemblyElecEquipment,Watts/Area,0.5,W/ft2,Receptacle,Refrig_Theater Area (Motion Picture),AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,Gas_Theater Area (Motion Picture),AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Exhibits and events_Theater Area,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Exhibits and events_Theater Area,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Exhibits and events_Theater Area,Gas,AssemblyServiceHotWater,TargetSHWTemp135,2.84355,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Exhibits and events_Theater Area,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Exhibits and events_Auditorium Area,Auditorium Area,Multiplier,12,n/a,Floor_Area,2222,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Exhibits and events_Auditorium Area,AssemblyOccupancy,People/Area,0.071,PerformanceSpcPeopleActivityLevel,LIGHT,Lights_Auditorium Area,AssemblyLights,Watts/Area,0.5,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,Equip_Auditorium Area,AssemblyElecEquipment,Watts/Area,1.0,W/ft2,Receptacle,Refrig_Auditorium Area,AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,Gas_Auditorium Area,AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Exhibits and events_Auditorium Area,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Exhibits and events_Auditorium Area,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Exhibits and events_Auditorium Area,Gas,AssemblyServiceHotWater,TargetSHWTemp135,2.839716,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Exhibits and events_Auditorium Area,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Exhibits and events_Museum Area Exhibition Display,Museum Area (Exhibition/Display),Multiplier,12,n/a,Floor_Area,1777,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Exhibits and events_Museum Area Exhibition Display,AssemblyOccupancy,People/Area,0.017,CommonAreaPeopleActivityLevel,LIGHT,Lights_Museum Area (Exhibition/Display),AssemblyLights,Watts/Area,0.6,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,Equip_Museum Area (Exhibition/Display),AssemblyElecEquipment,Watts/Area,1.5,W/ft2,Receptacle,Refrig_Museum Area (Exhibition/Display),AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,Gas_Museum Area (Exhibition/Display),AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Exhibits and events_Museum Area Exhibition Display,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Exhibits and events_Museum Area Exhibition Display,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Exhibits and events_Museum Area Exhibition Display,Gas,AssemblyServiceHotWater,TargetSHWTemp135,0.5437619999999999,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Exhibits and events_Museum Area Exhibition Display,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Library_Conference Room,"Convention, Conference, Multipurpose and Meeting Area",Multiplier,2,n/a,Floor_Area,650,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Library_Conference Room,AssemblyOccupancy,People/Area,0.033,MeetingAreaPeopleActivityLevel,LIGHT,"Lights_Convention, Conference, Multipurpose and Meeting Area",AssemblyLights,Watts/Area,0.75,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,"Equip_Convention, Conference, Multipurpose and Meeting Area",AssemblyElecEquipment,Watts/Area,1.0,W/ft2,Receptacle,"Refrig_Convention, Conference, Multipurpose and Meeting Area",AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,"Gas_Convention, Conference, Multipurpose and Meeting Area",AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Library_Conference Room,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Library_Conference Room,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Library_Conference Room,Gas,AssemblyServiceHotWater,TargetSHWTemp135,0.06434999999999999,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Library_Conference Room,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Library_Reading Area,Library (Reading Area),Multiplier,2,n/a,Floor_Area,3899,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Library_Reading Area,AssemblyOccupancy,People/Area,0.01,FunctionalAreaPeopleActivityLevel,LIGHT,Lights_Library (Reading Area),AssemblyLights,Watts/Area,0.8,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,Equip_Library (Reading Area),AssemblyElecEquipment,Watts/Area,1.5,W/ft2,Receptacle,Refrig_Library (Reading Area),AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,Gas_Library (Reading Area),AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Library_Reading Area,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Library_Reading Area,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Library_Reading Area,Gas,AssemblyServiceHotWater,TargetSHWTemp135,0.23394,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Library_Reading Area,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Library_Stacks Area,Library (Stacks Area),Multiplier,2,n/a,Floor_Area,7798,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Library_Stacks Area,AssemblyOccupancy,People/Area,0.01,FunctionalAreaPeopleActivityLevel,LIGHT,Lights_Library (Stacks Area),AssemblyLights,Watts/Area,1.0,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,Equip_Library (Stacks Area),AssemblyElecEquipment,Watts/Area,1.5,W/ft2,Receptacle,Refrig_Library (Stacks Area),AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,Gas_Library (Stacks Area),AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Library_Stacks Area,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Library_Stacks Area,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Library_Stacks Area,Gas,AssemblyServiceHotWater,TargetSHWTemp135,0.46788,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Library_Stacks Area,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Library_Lobby Main Entry,"Lobby, Main Entry",Multiplier,2,n/a,Floor_Area,650,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Library_Lobby Main Entry,AssemblyOccupancy,People/Area,0.033,CommonAreaPeopleActivityLevel,LIGHT,"Lights_Lobby, Main Entry",AssemblyLights,Watts/Area,0.7,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,"Equip_Lobby, Main Entry",AssemblyElecEquipment,Watts/Area,0.5,W/ft2,Receptacle,"Refrig_Lobby, Main Entry",AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,"Gas_Lobby, Main Entry",AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Library_Lobby Main Entry,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Library_Lobby Main Entry,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Library_Lobby Main Entry,Gas,AssemblyServiceHotWater,TargetSHWTemp135,0.06434999999999999,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Library_Lobby Main Entry,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Religious_Conference Room,"Convention, Conference, Multipurpose and Meeting Area",Multiplier,9,n/a,Floor_Area,689,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Religious_Conference Room,AssemblyOccupancy,People/Area,0.033,MeetingAreaPeopleActivityLevel,LIGHT,"Lights_Convention, Conference, Multipurpose and Meeting Area",AssemblyLights,Watts/Area,0.75,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,"Equip_Convention, Conference, Multipurpose and Meeting Area",AssemblyElecEquipment,Watts/Area,1.0,W/ft2,Receptacle,"Refrig_Convention, Conference, Multipurpose and Meeting Area",AssemblyRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,"Gas_Convention, Conference, Multipurpose and Meeting Area",AssemblyGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Religious_Conference Room,AssemblyInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Religious_Conference Room,Maximum,15,0.15,0,AssemblyHVACAvail,WATERUSE:EQUIPMENT,WU_Religious_Conference Room,Gas,AssemblyServiceHotWater,TargetSHWTemp135,0.3069495,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Religious_Conference Room,AssemblyHtgSetpt,AssemblyClgSetpt
Assembly,NC,ZONE,Religious_General Office,Office Area (>250 square feet),Multiplier,9,n/a,Floor_Area,689,SF,Part_of_Total_Floor_Area,Yes,PEOPLE,People_Religious_General Office,AssemblyOfficeOccupancy,People/Area,0.005,FunctionalAreaPeopleActivityLevel,LIGHT,Lights_Office Area (>250 square feet),AssemblyOfficeLights,Watts/Area,0.6,W/ft2,ComplianceLtg,ELECTRICEQUIPMENT,Equip_Office Area (>250 square feet),AssemblyOfficeElecEquipment,Watts/Area,0.7,W/ft2,Receptacle,Refrig_Office Area (>250 square feet),AssemblyOfficeRefrigeration,Watts/Area,0,W/ft2,Refrigeration,GASEQUIPMENT,Gas_Office Area (>250 square feet),AssemblyOfficeGasEquipment,Power/Area,0,Btu/hr-ft2,Gas,ZONEINFILTRATION:DESIGNFLOWRATE,Infil_Religious_General Office,AssemblyOfficeInfiltration,Flow/ExteriorWallArea,0,0.1692,DESIGNSPECIFICATION:OUTDOORAIR,DSOA_Religious_General Office,Maximum,15,0.15,0,AssemblyOfficeHVACAvail,WATERUSE:EQUIPMENT,WU_Religious_General Office,Gas,AssemblyOfficeServiceHotWater,TargetSHWTemp135,0.093015,THERMOSTATSETPOINT:DUALSETPOINT,TSDSP_Religious_General Office,AssemblyOfficeHtgSetpt,AssemblyOfficeClgSetpt
