Prototype,Vintage,Object Class_1,Object Name_1.1,Schedule_Name,Design_Level,Unit,Control_Option,End_Use_Subcategory_1.1,Object Class_2,Object Name_2.1,Fuel_Use_Type,Schedule_Name,Design_Level,Unit,End_Use_Subcategory_2.1,Object Class_3,Object Name_3.1,Tank_Volume,Unit,Setpoint_temperature_Schedule_Name,Heater_Maximum_Capacity,Unit,Ambient_temperature_Indicator,Ambient_temperature_Schedule_Name,Off_On_Cycle_Loss_Coefficient_to_Ambient_Temperature,Unit,End_Use_Subcategory_3.1
Assembly,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_Assembly,AssemblyExtLightingNonMotionCtrl,1957.3249999999998,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
Assembly,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_Assembly,AssemblyExtLightingMotionCtrl,9861.697,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_Assembly,Electricity,AssemblyElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,498.1922239999999,gal,SHWSystemSetpointTemp135,495464.12338137586,Btu/hr,Schedule,WaterHeaterAmbientTemp,48.19980448581138,Btu/hr-F,GasWaterHeater
HotelSmall,NC,EXTERIOR:LIGHTS,ExtLights_Motion_HotelSmall,HotelSmallExtLightingMotionCtrl,1062.078374555556,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_HotelSmall,Electricity,HotelSmallElevator,9000,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,107,gal,SHWSystemSetpointTemp130,99202.99979784375,Btu/hr,Schedule,WaterHeaterAmbientTemp,20.852476367594793,Btu/hr-F,GasWaterHeater
HotelSmall,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_HotelSmall,HotelSmallExtLightingNonMotionCtrl,742.683227,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
HotelSmall,V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_HotelSmall,HotelSmallExtLightingMotionCtrl,1062.078374555556,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_HotelSmall,Electricity,HotelSmallElevator,16000,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,107,gal,SHWSystemSetpointTemp130,99202.99979784375,Btu/hr,Schedule,WaterHeaterAmbientTemp,20.852476367594793,Btu/hr-F,GasWaterHeater
HotelLarge,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_HotelLarge,HotelLargeExtLightingNonMotionCtrl,1184.744511058602,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
HotelLarge,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_HotelLarge,HotelLargeExtLightingMotionCtrl,3743.026885369064,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_HotelLarge,Electricity,HotelLargeElevator,75759.39,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,507,gal,SHWSystemSetpointTemp130,472269.1468513391,Btu/hr,Schedule,WaterHeaterAmbientTemp,47.275782305569294,Btu/hr-F,GasWaterHeater
Hospital,V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_Hospital,HospitalExtLightingMotionCtrl,8349.061,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_Hospital,Electricity,HospitalElevator,58131.4,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,143.773028376,gal,SHWSystemSetpointTemp135,142985.727272613,Btu/hr,Schedule,WaterHeaterAmbientTemp,23.02051495533233,Btu/hr-F,GasWaterHeater
Hospital,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_Hospital,HospitalExtLightingNonMotionCtrl,1383.959,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
Hospital,NC,EXTERIOR:LIGHTS,ExtLights_Motion_Hospital,HospitalExtLightingMotionCtrl,8349.061,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_Hospital,Electricity,HospitalElevator,35089.21,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,143.773028376,gal,SHWSystemSetpointTemp135,142985.727272613,Btu/hr,Schedule,WaterHeaterAmbientTemp,23.02051495533233,Btu/hr-F,GasWaterHeater
